team,player_name
DC,Avesh Khan
DC,Sayan Ghosh
DC,Ankush Bains
DC,Sherfane Rutherford
DC,Hanuma Vihari
DC,Axar Patel
DC,Keemo Paul
DC,Jalaj Saxena
DC,Bandaru Ayyappa
DC,Ishant Sharma
DC,Nathu Singh
DC,Jagadeesha Suchith
DC,Alex Carey
DC,Shimron Hetmyer
DC,Ravichandran Ashwin
DC,Daniel Sams
DC,Lalit Yadav
DC,Mohit Sharma
DC,Pravin Dubey
DC,Tushar Deshpande
DC,Anrich Nortje
DC,Vishnu Vinod
DC,Ripal Patel
DC,Ben Dwarshuis
DC,Chris Woakes
DC,Steve Smith
DC,M. Siddharth
DC,Lukman Meriwala
DC,Kulwant Khejroliya
DC,Tom Curran
DC,Mandeep Singh
DC,Rovman Powell
DC,Tim Seifert
DC,Sarfaraz Khan
DC,Yash Dhull
DC,Kamlesh Nagarkoti
DC,Mitchell Marsh
DC,Vicky Ostwal
DC,Shardul Thakur
DC,Chetan Sakariya
DC,Kuldeep Yadav
DC,Lungisani Ngidi
DC,Mustafizur Rahman
DC,Priyam Garg
DC,Phil Salt
DC,Manish Pandey
DC,Rilee Rossouw
DC,Abishek Porel
DC,Mukesh Kumar
DC,Jake Fraser-McGurk
DC,Shai Hope
DC,Swastik Chhikara
DC,Harry Brook
DC,Ricky Bhui
DC,Kumar Kushagra
DC,Tristan Stubbs
DC,Gulbadin Naib
DC,Sumit Kumar
DC,Jhye Richardson
DC,Lizaad Williams
DC,Rasikh Dar
DC,KL Rahul
DC,Faf Du Plessis
DC,Donovan Ferreira
DC,Sediqullah Atal
DC,Sameer Rizvi
DC,Ashutosh Sharma
DC,Darshan Nalkande
DC,Vipraj Nigam
DC,Ajay Mandal
DC,Manvanth Kumar
DC,Tripurana Vijay
DC,Madhav Tiwari
DC,Mitchell Starc
DC,T Natarajan
DC,Dushmantha Chameera
DC,David Miller
DC,Ben Duckett
DC,Pathum Nissanka
DC,Sahil Parakh
DC,Auqib Dar
DC,Nitish Rana
DC,Kyle Jamieson
GT,Abhinav Manohar
GT,David Miller
GT,Rahmanullah Gurbaz
GT,Shubman Gill
GT,Matthew Wade
GT,Wriddhiman Saha
GT,Gurkeerat Mann Singh
GT,Hardik Pandya
GT,Sai Sudharsan
GT,Darshan Nalkande
GT,Jayant Yadav
GT,Vijay Shankar
GT,Sai Kishore
GT,Dominic Drakes
GT,Pradeep Sangwan
GT,Rahul Tewatia
GT,Alzarri Joseph
GT,Lockie Ferguson
GT,Mohammad Shami
GT,Noor Ahmad
GT,Rashid Khan
GT,Varun Aaron
GT,Yash Dayal
GT,Kane Williamson
GT,Urvil Patel
GT,K.S Bharat
GT,Odean Smith
GT,Dasun Shanaka
GT,Shivam Mavi
GT,Joshua Little
GT,Mohit Sharma
GT,BR Sharath
GT,Azmatullah Omarzai
GT,Shahrukh Khan
GT,Sandeep Warrier
GT,Gurnoor Brar
GT,Kartik Tyagi
GT,Sushant Mishra
GT,Spencer Johnson
GT,Umesh Yadav
GT,Manav Suthar
GT,Kumar Kushagra
GT,Anuj Rawat
GT,Sherfane Rutherford
GT,Kusal Mendis
GT,Nishant Sindhu
GT,Mahipal Lomror
GT,Washington Sundar
GT,Mohd Arshad Khan
GT,Karim Janat
GT,Kagiso Rabada
GT,Mohammed Siraj
GT,Prasidh Krishna
GT,Gerald Coetzee
GT,Gurnoor Singh Brar
GT,Ishant Sharma
GT,Kulwant Khejroliya
GT,Jos Buttler
GT,Tom Banton
GT,Glenn Phillips
GT,Jason Holder
GT,Ashok Sharma
GT,Prithvi Raj Yarra
GT,Luke Wood
KKR,Brendon McCullum
KKR,Wriddhiman Saha
KKR,Debabrata Das
KKR,Aakash Chopra
KKR,Cheteshwar Pujara
KKR,Brad Hodge
KKR,Ricky Ponting
KKR,Sourav Ganguly
KKR,Laxmi Ratan Shukla
KKR,Chris Gayle
KKR,Ajit Agarkar
KKR,David Hussey
KKR,Iqbal Abdulla
KKR,Ajantha Mendis
KKR,Ishant Sharma
KKR,Ashok Dinda
KKR,Sanju Samson
KKR,Murali Kartik
KKR,Siddharth Kaul
KKR,Moises Henriques
KKR,Angelo Mathews
KKR,Charl Langeveldt
KKR,Anureet Singh
KKR,Owais Shah
KKR,Manoj Tiwary
KKR,Jaydev Unadkat
KKR,Varun Aaron
KKR,Brad Haddin
KKR,Manvinder Bisla
KKR,Shreevats Goswami
KKR,Eoin Morgan
KKR,Gautam Gambhir
KKR,Yusuf Pathan
KKR,Jacques Kallis
KKR,Ryan Ten Doeschate
KKR,Shakib Al Hasan
KKR,Rajat Bhatia
KKR,Brett Lee
KKR,James Pattinson
KKR,Lakshmipathy Balaji
KKR,Pradeep Sangwan
KKR,Sarabjit Ladda
KKR,Mohammed Shami
KKR,Sunil Narine
KKR,Marchant De Lange
KKR,Paras Dogra
KKR,Sumit Narwal
KKR,Ryan McLaren
KKR,Sachithra Senanayake
KKR,Surya Kumar Yadav
KKR,Chris Lynn
